,form,lexeme,morph_descr,category
925,dziewuszyskach,dziewuszysko,subst:pl:loc:n:ncol,gendered
926,kobieciątko,kobieciątko,subst:sg:nom.acc.voc:n:ncol,gendered
927,kobieciątka,kobieciątko,subst:sg:gen:n:ncol,gendered
928,kobieciątku,kobieciątko,subst:sg:dat:n:ncol,gendered
929,kobieciątkiem,kobieciątko,subst:sg:inst:n:ncol,gendered
930,kobieciątku,kobieciątko,subst:sg:loc:n:ncol,gendered
931,kobieciątka,kobieciątko,subst:pl:nom.acc.voc:n:ncol,gendered
932,kobieciątek,kobieciątko,subst:pl:gen:n:ncol,gendered
933,kobieciątkom,kobieciątko,subst:pl:dat:n:ncol,gendered
934,kobieciątkami,kobieciątko,subst:pl:inst:n:ncol,gendered
935,kobieciątkach,kobieciątko,subst:pl:loc:n:ncol,gendered
936,kobiecisko,kobiecisko,subst:sg:nom.acc.voc:n:ncol,gendered
937,kobieciska,kobiecisko,subst:sg:gen:n:ncol,gendered
938,kobiecisku,kobiecisko,subst:sg:dat:n:ncol,gendered
939,kobieciskiem,kobiecisko,subst:sg:inst:n:ncol,gendered
940,kobiecisku,kobiecisko,subst:sg:loc:n:ncol,gendered
941,kobieciska,kobiecisko,subst:pl:nom.acc.voc:n:ncol,gendered
942,kobiecisk,kobiecisko,subst:pl:gen:n:ncol,gendered
943,kobieciskom,kobiecisko,subst:pl:dat:n:ncol,gendered
944,kobieciskami,kobiecisko,subst:pl:inst:n:ncol,gendered
945,kobieciskach,kobiecisko,subst:pl:loc:n:ncol,gendered
946,kobieton,kobieton,subst:sg:nom:m2,gendered
947,kobietona,kobieton,subst:sg:gen.acc:m2,gendered
948,kobietonowi,kobieton,subst:sg:dat:m2,gendered
949,kobietonem,kobieton,subst:sg:inst:m2,gendered
950,kobietonie,kobieton,subst:sg:loc:m2,gendered
951,kobietonie,kobieton,subst:sg:voc:m2,gendered
952,kobietony,kobieton,subst:pl:nom.acc.voc:m2,gendered
953,kobietonów,kobieton,subst:pl:gen:m2,gendered
954,kobietonom,kobieton,subst:pl:dat:m2,gendered
955,kobietonami,kobieton,subst:pl:inst:m2,gendered
956,kobietonach,kobieton,subst:pl:loc:m2,gendered
957,pacholę,pacholę,subst:sg:nom.acc.voc:n:col,gendered
958,pacholęcia,pacholę,subst:sg:gen:n:col,gendered
959,pacholęciu,pacholę,subst:sg:dat:n:col,gendered
960,pacholęciem,pacholę,subst:sg:inst:n:col,gendered
961,pacholęciu,pacholę,subst:sg:loc:n:col,gendered
962,pacholęta,pacholę,subst:pl:nom.acc.voc:n:col,gendered
963,pacholąt,pacholę,subst:pl:gen:n:col,gendered
964,pacholętom,pacholę,subst:pl:dat:n:col,gendered
965,pacholętami,pacholę,subst:pl:inst:n:col,gendered
966,pacholętach,pacholę,subst:pl:loc:n:col,gendered
967,pannisko,pannisko,adv:pos,gendered
968,pannisko,pannisko,subst:sg:nom.acc.voc:n:ncol,gendered
969,panniska,pannisko,subst:sg:gen:n:ncol,gendered
970,pannisku,pannisko,subst:sg:dat:n:ncol,gendered
971,panniskiem,pannisko,subst:sg:inst:n:ncol,gendered
972,pannisku,pannisko,subst:sg:loc:n:ncol,gendered
973,panniska,pannisko,subst:pl:nom.acc.voc:n:ncol,gendered
974,pannisk,pannisko,subst:pl:gen:n:ncol,gendered
975,panniskom,pannisko,subst:pl:dat:n:ncol,gendered
976,panniskami,pannisko,subst:pl:inst:n:ncol,gendered
977,panniskach,pannisko,subst:pl:loc:n:ncol,gendered
978,pasztet,pasztet,subst:sg:nom.acc:m3,gendered
979,pasztetu,pasztet,subst:sg:gen:m3,gendered
980,pasztetowi,pasztet,subst:sg:dat:m3,gendered
981,pasztetem,pasztet,subst:sg:inst:m3,gendered
982,pasztecie,pasztet,subst:sg:loc:m3,gendered
983,pasztecie,pasztet,subst:sg:voc:m3,gendered
984,pasztety,pasztet,subst:pl:nom.acc.voc:m3,gendered
985,pasztetów,pasztet,subst:pl:gen:m3,gendered
986,pasztetom,pasztet,subst:pl:dat:m3,gendered
987,pasztetami,pasztet,subst:pl:inst:m3,gendered
988,pasztetach,pasztet,subst:pl:loc:m3,gendered
989,wamp,wamp,subst:sg:nom:m2,gendered
990,wampa,wamp,subst:sg:gen.acc:m2,gendered
991,wampowi,wamp,subst:sg:dat:m2,gendered
992,wampem,wamp,subst:sg:inst:m2,gendered
993,wampie,wamp,subst:sg:loc:m2,gendered
994,wampie,wamp,subst:sg:voc:m2,gendered
995,wampy,wamp,subst:pl:nom.acc.voc:m2,gendered
996,wampów,wamp,subst:pl:gen:m2,gendered
997,wampom,wamp,subst:pl:dat:m2,gendered
998,wampami,wamp,subst:pl:inst:m2,gendered
999,wampach,wamp,subst:pl:loc:m2,gendered
